(2)   | 912.150 (20:09:51.112) 1198  | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
(3)   | 912.700 (20:09:51.662) 1200  | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
(4)   | 913.250 (20:09:52.212) 1202  | Theepine - Frost Splinter (C)    | SPELL_DAMAGE            [8]
(5)   | 973.700 (20:10:52.662) 1280  | Theepine - Frost Splinter (C)    | SPELL_DAMAGE            [8]
(6)   | 974.200 (20:10:53.162) 1283  | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
{6}   | 974.300 (20:10:53.262) 1284  | Theepine - Freezing              | SPELL_AURA_APPLIED      [4]

(1)   | 974.800 (20:10:53.762) 1286  | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
(2)   | 975.300 (20:10:54.262) 1288  | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
(3)   | 1035.700 (20:11:54.662) 1372  | Theepine - Frost Splinter (C)    | SPELL_DAMAGE            [8]
(4)   | 1036.200 (20:11:55.162) 1375  | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
(5)   | 1036.800 (20:11:55.762) 1377  | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
{5}   | 1036.800 (20:11:55.762) 1378  | Theepine - Freezing              | SPELL_AURA_APPLIED      [4]

(1)   | 1037.300 (20:11:56.262) 1380  | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
(2)   | 1097.750 (20:12:56.712) 1460  | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
(3)   | 1098.250 (20:12:57.212) 1463  | Theepine - Frost Splinter (C)    | SPELL_DAMAGE            [8]
{3}   | 1098.350 (20:12:57.312) 1464  | Theepine - Freezing              | SPELL_AURA_APPLIED      [4]

(1)   | 1098.850 (20:12:57.812) 1466  | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
(2)   | 1099.350 (20:12:58.312) 1468  | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
{2}   | 1099.350 (20:12:58.312) 1469  | Theepine - Freezing              | SPELL_AURA_APPLIED_DOSE [7]

(1)   | 1159.850 (20:13:58.812) 1549  | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
(2)   | 1160.300 (20:13:59.262) 1552  | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
(3)   | 1160.900 (20:13:59.862) 1554  | Theepine - Frost Splinter        | SPELL_DAMAGE            [8]
{3}   | 1160.900 (20:13:59.862) 1555  | Theepine - Freezing              | SPELL_AURA_APPLIED      [4]

